#List of 666 genes for which we were able to compute clonal frequency
#
#All driver genes stated as major or those with an FDR < 0.1 
#
##geneHGNCsymbol
##Mean VAF = average variant allele frequency of somatic mutations detected in the driver gene across samples of each tumor type.
##Zvalue = Zscore of the gene's average variant allele frequency in the context of all somatic mutations detected in the tumor type.
##Nmutations = Number of mutations observed in the driver across the cohort
##Pvalue = P-value resulting from the statistical test of major drivers
##FDR = Corrected P-value
##TumorType = tumor type
##MeanCCF = Mean CCF of all mutations detected in drivers of the tumor type
###
geneHGNCsymbol	MeanVAF	Nmutations	Zvalue	Pvalue	FDR	TumorType	MeanCCF
FRG1B	0.0961383859	15	-3.06607	0.9989155373	0.9999946564	PRAD	0.1922767719
MLL3	0.2140168045	19	-3.1024	0.9990402081	1.0000000000	BLCA	0.428033609
ARAP3	0.255958262	6	-3.11301	0.9990740513	0.9990740513	UCEC	0.5119165239
BCLAF1	0.1321984379	6	-3.19767	0.9993072864	1.0000000000	BLCA	0.2643968759
EIF4A2	0.2138888889	8	-3.23613	0.999394189	1.0000000000	CM	0.4277777778
RUNX1	0.0992749221	4	-3.24213	0.9994068005	1.0000000000	HNSC	0.1985498443
NCF2	0.0468478884	4	-3.34949	0.9995951976	0.9998061957	GBM	0.0936957768
TET2	0.3534146572	22	-3.38864	0.9996487992	1.0000000000	LAML	0.7068293144
EEF1B2	0.051118836	8	-3.39286	0.9996541651	0.9998686602	LGG	0.1022376721
MET	0.1047025954	5	-3.43554	0.9997043129	1.0000000000	BLCA	0.2094051909
HSPA8	0.1575718016	4	-3.44387	0.9997132743	0.9997132743	BRCA	0.3151436031
MLL	0.0299874397	4	-3.54838	0.9998061957	0.9998061957	GBM	0.0599748793
FRG1B	0.0774589246	13	-3.64957	0.9998686602	0.9998686602	LGG	0.1549178491
PIK3CB	0.1885481169	8	-4.03361	0.9999725368	1.0000000000	CM	0.3770962337
MLL3	0.142831252	19	-4.15278	0.999983577	0.9999835770	LUAD	0.2856625039
EEF1B2	0.047713249	16	-4.40278	0.9999946564	0.9999946564	PRAD	0.0954264979
CLSPN	0.0552709292	5	-4.40729	0.9999947664	1.0000000000	HNSC	0.1105418584
BLM	0.0906650487	5	-5.18498	0.999999892	1.0000000000	CM	0.1813300974
EIF2AK3	0.1547398344	13	-5.97882	0.9999999989	1.0000000000	CM	0.3094796689
FRG1B	0.1169257983	19	-6.41417	0.9999999999	1.0000000000	HNSC	0.2338515967
TP53	0.4089885154	126	8.75537	1.0171749604239802e-18	0.0000000000	HNSC	0.8179770308
TP53	0.4668966025	157	14.30361	1.0387362833804215e-46	0.0000000000	BRCA	0.9337932049
ATRX	0.4256322534	47	6.70031	1.0398892813489014e-11	0.0000000001	LGG	0.8512645067
TP53	0.4581309017	25	5.60322	1.0520294386179199e-08	0.0000006207	STAD	0.9162618034
CASP8	0.4379895265	18	4.24654	1.0854851841988743e-05	0.0002008148	HNSC	0.875979053
TP53	0.4413039561	38	5.59433	1.1073767696410259e-08	0.0000001218	COREAD	0.8826079122
PIK3CA	0.4257665367	115	4.73166	1.1134559360267193e-06	0.0000244960	UCEC	0.8515330733
EIF1AX	0.4486666594	16	4.72303	1.1617827905666063e-06	0.0000023236	THCA	0.8973333189
CDKN2A	0.4573068557	23	5.16652	1.1924634674860223e-07	0.0000044121	HNSC	0.9146137114
TP53	0.4343791406	74	8.98775	1.2617162471312795e-19	0.0000000000	LGG	0.8687582812
TP53	0.3937013035	49	5.55653	1.3759522076030045e-08	0.0000003440	LUAD	0.787402607
TP53	0.4544614598	37	6.65608	1.4061360992068139e-11	0.0000000004	BLCA	0.9089229195
SPOP	0.4102437758	13	4.17678	1.4783236696456743e-05	0.0001256575	PRAD	0.8204875516
EP300	0.4371645898	57	7.27029	1.7935828113721344e-13	0.0000000000	BLCA	0.8743291796
PTEN	0.4278928801	123	5.08553	1.8330043792298486e-07	0.0000060489	UCEC	0.8557857602
CBFB	0.5	11	4.60644	2.048105903561841e-06	0.0000225292	BRCA	1
KEAP1	0.4251139964	25	4.60606	2.0518501432988649e-06	0.0000322288	LUSC	0.8502279928
CDKN2A	0.4775353999	14	4.58698	2.2485187130265085e-06	0.0000322288	LUSC	0.9550707998
BRAF	0.4513082111	167	15.48011	2.3633198330339367e-54	0.0000000000	THCA	0.9026164222
ATM	0.4642954391	23	5.4573	2.4171459366477565e-08	0.0000005318	BRCA	0.9285908782
TP53	0.4423204636	88	9.87293	2.7273765479536363e-23	0.0000000000	LUSC	0.8846409272
CDKN2A	0.4477579183	60	7.20956	2.8066480046441888e-13	0.0000000000	CM	0.8955158365
TP53	0.4439555518	81	7.50815	2.9984384806067213e-14	0.0000000000	GBM	0.8879111036
TP53	0.4712824205	40	5.80885	3.1451707099733841e-09	0.0000002076	UCEC	0.942564841
CDH1	0.4741364962	36	7.18788	3.2902528386678472e-13	0.0000000000	BRCA	0.9482729924
CIC	0.391005307	37	4.97306	3.2952126148240588e-07	0.0000020595	LGG	0.7820106141
TP53	0.4859917283	176	14.53688	3.5372145707612053e-48	0.0000000000	OV	0.9719834566
PIK3CA	0.3849928868	182	5.38429	3.6365580692391017e-08	0.0000006000	BRCA	0.7699857736
NCOR1	0.477125604	13	4.4709	3.8945557474658796e-06	0.0000367201	BRCA	0.954251208
FUBP1	0.4472250722	12	3.91832	4.4584139677331067e-05	0.0002229207	LGG	0.8944501443
KEAP1	0.444911378	34	6.81066	4.8575996979064548e-12	0.0000000002	LUAD	0.889822756
CTCF	0.4688791831	22	5.31103	5.4503691246241511e-08	0.0000007194	BRCA	0.9377583662
TP53	0.4546273317	12	4.87452	5.4536667691615658e-07	0.0000092712	PRAD	0.9092546634
NRAS	0.4775206898	48	9.5679	5.4549547224961956e-22	0.0000000000	THCA	0.9550413796
AKT1	0.5	7	3.86698	5.5095730492878921e-05	0.0004040354	BRCA	1
BAP1	0.5	9	4.39518	5.5340500482465723e-06	0.0000959235	BLCA	1
MLL2	0.4393571012	14	3.86461	5.563341918440381e-05	0.0007232344	BLCA	0.8787142023
MAP2K4	0.4680204848	15	4.38857	5.7049205491467011e-06	0.0000470656	BRCA	0.9360409695
IDH1	0.4149470401	128	10.45975	6.6102010574871963e-26	0.0000000000	LGG	0.8298940802
EIF4A2	0.413347505	16	3.79268	7.4515075557495794e-05	0.0012419179	LUAD	0.8266950101
NRAS	0.4296515356	88	7.05916	8.375605347572022e-13	0.0000000001	CM	0.8593030712
PTEN	0.441601819	71	7.05883	8.3955168996104807e-13	0.0000000000	GBM	0.883203638
HRAS	0.4575683491	33	7.04856	9.0389399080832318e-13	0.0000000000	THCA	0.9151366982
NOTCH1	0.42275845	24	4.26911	9.8127236054854372e-06	0.0002008148	HNSC	0.8455169
